,Concelho,Nome,NAC,FREGUESIA
76,AVEIRO,N SRA DE FATIMA,1524,
132,ILHAVO,I  S SALVADOR,12725,
269,MOURA,M  STO AGOSTINHO,3556,
272,MOURA,M  S JOAO BAPTISTA,3831,
278,ODEMIRA,O  STA MARIA,1286,
281,ODEMIRA,O  S SALVADOR,1769,
397,BARCELOS,RIO COVO (STA EULALIA),839,
398,BARCELOS,TAMEL (STA LEOCADIA),637,
400,BARCELOS,BASTUCO (STO ESTEVAO),429,
401,BARCELOS,BASTUCO (S JOAO),516,
460,BRAGA,PENSO (STO ESTEVAO),361,
465,BRAGA,MERELIM (S PAIO),2068,
467,BRAGA,MERELIM (S PEDRO),1594,
468,BRAGA,OLIVEIRA (S PEDRO),499,
563,FAFE,SILVARES (S CLEMENTE),451,
614,GUIMARAES,BRITEIROS (STA LEOCADIA),693,
616,GUIMARAES,SOUTO (STA MARIA),658,
618,GUIMARAES,BRITEIROS (STO ESTEVAO),1034,
620,GUIMARAES,SANDE (S CLEMENTE),1394,
623,GUIMARAES,AIRAO (S JOAO BAPTISTA),727,
625,GUIMARAES,SANDE (S LOURENCO),1017,
626,GUIMARAES,SELHO (S LOURENCO),1295,
630,GUIMARAES,SOUTO (S SALVADOR),801,
707,VIEIRA DO MINHO,VILAR CHAO,296,
744,VILA NOVA DE FAMALICAO,ARNOSO (STA EULALIA),973,
745,VILA NOVA DE FAMALICAO,ARNOSO (STA MARIA),1353,
747,VILA NOVA DE FAMALICAO,VALE (S COSME),2310,
748,VILA NOVA DE FAMALICAO,VALE (S MARTINHO),1465,
749,VILA NOVA DE FAMALICAO,OLIVEIRA (S MATEUS),2466,
803,VILA VERDE,VALBOM (S MARTINHO),247,
804,VILA VERDE,CARREIRAS (S MIGUEL),519,
807,VILA VERDE,VALBOM (S PEDRO),302,
820,VIZELA,VIZELA (STO. ADRIAO),1785,
821,VIZELA,VIZELA (S.PAIO),1087,
863,BRAGANCA,B  STA MARIA,3061,
866,BRAGANCA,B  SE,12535,
992,MOGADOURO,BRUNHOSINHO,195,
1137,COVILHA,C  CONCEICAO,6993,
1147,COVILHA,C  STA MARIA,2566,
1149,COVILHA,C  S MARTINHO,4179,
1150,COVILHA,C  S PEDRO,2271,
1433,PENELA,P  STA EUFEMIA,1382,
1434,PENELA,P  S MIGUEL,1478,
1471,ALANDROAL,SAO BRAS MATOS (MINA BUGALHO),370,
1476,ARRAIOLOS,GAFANHOEIRA (S PEDRO),562,
1488,ESTREMOZ,E  STO ANDRE,2739,
1496,EVORA,N SRA DA BOA FE,348,
1517,MONTEMOR-O-NOVO,N SRA DO BISPO,4631,
1518,MONTEMOR-O-NOVO,N SRA DA VILA,4423,
1600,LOULE,L  S CLEMENTE,11450,
1601,LOULE,L  S SEBASTIAO,5545,
1698,CELORICO DA BEIRA,CELORICO (STA MARIA),1023,
1699,CELORICO DA BEIRA,CELORICO (S PEDRO),1162,
1798,GUARDA,JARMELO (S MIGUEL),251,
1799,GUARDA,JARMELO (S PEDRO),277,
1800,GUARDA,G  S VICENTE,7282,
1801,GUARDA,G  SE,6487,
1816,MANTEIGAS,M  STA MARIA,1574,
1854,PINHEL,POVOA DE EL-REI,90,
1947,TRANCOSO,T  STA MARIA,1084,
1948,TRANCOSO,T  S PEDRO,1346,
1989,ALCOBACA,ALJUBARROTA (S VICENTE),1851,
2021,CALDAS DA RAINHA,CR N SRA DO POPULO,11572,
2034,CALDAS DA RAINHA,CR STO ONOFRE,7736,
2080,OBIDOS,O  STA MARIA,1451,
2081,OBIDOS,O  S PEDRO,1098,
2119,PORTO DE MOS,PM  S JOAO BAPTISTA,1872,
2120,PORTO DE MOS,PM  S PEDRO,2435,
2189,LISBOA,N SRA DE FATIMA,17183,
2311,TORRES VEDRAS,TV  STA MARIA CASTELO S MIGUEL,4004,
2313,TORRES VEDRAS,TV  S PEDRO E S TIAGO,14104,
2376,ELVAS,AJUDA SALVADOR E STO ILDEFONSO,1261,
2408,NISA,N SRA DA GRACA,1176,
2442,AMARANTE,CARVALHO DO REI,221,
2464,AMARANTE,FIGUEIRO (STA CRISTINA),1177,
2466,AMARANTE,A  S GONCALO,4658,
2487,BAIAO,B  STA LEOCADIA,594,
2513,FELGUEIRAS,MARGARIDE (STA EULALIA),6495,
2515,FELGUEIRAS,VIZELA (S JORGE),555,
2534,GONDOMAR,G S COSME,20386,
2556,LOUSADA,L  STA MARGARIDA,331,
2557,LOUSADA,BARROSAS (STO ESTEVAO),641,
2558,LOUSADA,L  S MIGUEL,660,
2573,MAIA,AVIOSO (STA MARIA),2727,
2574,MAIA,AVIOSO (S PEDRO),2116,
2714,POVOA DE VARZIM,A VER O MAR,5527,
2741,SANTO TIRSO,COUTO (STA CRISTINA),3117,
2743,SANTO TIRSO,NEGRELOS (S MAMEDE),1673,
2744,SANTO TIRSO,CAMPO (S MARTINHO),3098,
2745,SANTO TIRSO,COUTO (S MIGUEL),1044,
2800,VILA NOVA DE GAIA,VNG  STA MARINHA,24467,
2811,TROFA,BOUGADO (S. MARTINHO),10887,
2827,ABRANTES,A  S JOAO,1706,
2829,ABRANTES,A  S VICENTE,8026,
2906,RIO MAIOR,VILA DA MARMELEIRA,413,
2940,SANTAREM,S  S NICOLAU,6584,
2941,SANTAREM,S  SALVADOR,6928,
2942,SANTAREM,SAO VICENTE DE PAUL,1567,
2980,TORRES NOVAS,TN  SALVADOR,1831,
2981,TORRES NOVAS,TN  STA MARIA,3458,
2982,TORRES NOVAS,TN  SANTIAGO,1077,
2983,TORRES NOVAS,TN  S PEDRO,5100,
3005,OUREM,N SRA DA PIEDADE,4841,
3008,OUREM,RIBEIRA DE FARRIO,837,
3009,ALCACER DO SAL,AS  STA MARIA CASTELO,3645,
3011,ALCACER DO SAL,AS  SANTIAGO,4209,
3124,ARCOS DE VALDEVEZ,AV  SALVADOR,1047,
3126,ARCOS DE VALDEVEZ,PADREIRO (STA CRISTINA),175,
3127,ARCOS DE VALDEVEZ,TAVORA (STA MARIA),698,
3131,ARCOS DE VALDEVEZ,AV  S PAIO,1141,
3148,CAMINHA,C  MATRIZ,1688,
3195,MONCAO,MESSAGAES,388,
3254,PONTE DA BARCA,VILA CHA (S JOAO BAPTISTA),576,
3255,PONTE DA BARCA,TOUVEDO (S LOURENCO),321,
3344,VIANA DO CASTELO,VC  MONSERRATE,5439,
3354,VIANA DO CASTELO,GERAZ DO LIMA (STA LEOCADIA),1020,
3355,VIANA DO CASTELO,GERAZ DO LIMA (STA MARIA),802,
3356,VIANA DO CASTELO,VC  STA MARIA MAIOR,8861,
3400,BOTICAS,ALTURAS DE BARROSO,529,
3470,MESAO FRIO,MF  STA CRISTINA,824,
3471,MESAO FRIO,MF  S NICOLAU,345,
3509,MONTALEGRE,VILAR DE PERDIZES (S MIGUEL),745,
3542,RIBEIRA DE PENA,RP  SALVADOR,2527,
3567,SANTA MARTA DE PENAGUIAO,LOBRIGOS (S JOAO BAPTISTA),1334,
3568,SANTA MARTA DE PENAGUIAO,LOBRIGOS (S MIGUEL),1112,
3570,VALPACOS,AGUA REVES E CASTRO,521,
3590,VALPACOS,SANTIAGO DE RIBEIRA DE ALHARIZ,1050,
3851,SANTA COMBA DAO,NAGOSELA,519,
4001,VISEU,SAO JOSE,5255,
4054,PRAIA DA VITORIA,AGUALVA,1172,
4055,PRAIA DA VITORIA,BISCOITOS,1208,
4056,PRAIA DA VITORIA,CABO DA PRAIA,476,
4057,PRAIA DA VITORIA,FONTE DO BASTARDO,838,
4058,PRAIA DA VITORIA,FONTINHAS,1221,
4059,PRAIA DA VITORIA,LAJES,3149,
4060,PRAIA DA VITORIA,QUATRO RIBEIRAS,464,
4061,PRAIA DA VITORIA,PRAIA DA VITORIA (STA CRUZ),5138,
4062,PRAIA DA VITORIA,SAO BRAS,892,
4063,PRAIA DA VITORIA,VILA NOVA,1593,
4064,PRAIA DA VITORIA,PORTO MARTINS,605,
4136,PONTA DELGADA,ROSTO DO CAO (S ROQUE),3438,
4143,POVOACAO,N SRA DOS REMEDIOS,891,
4148,RIBEIRA GRANDE,RG  CONCEICAO,1347,
4155,RIBEIRA GRANDE,RG  MATRIZ,2749,
4163,VILA FRANCA DO CAMPO,VFC  S MIGUEL,2740,
4164,VILA FRANCA DO CAMPO,VFC  S PEDRO,776,
