Distrito;PT_INE_21
Aveiro;7,00466885665878
Açores;2,3140951739771545
Beja;1,3516874758809325
Braga;8,411820324827923
Bragança;1,2808309814650238
Castelo Branco;1,8276289829161434
Coimbra;4,118404758953781
Faro;4,008156569424008
Guarda;1,5037673391741486
Leiria;4,473670506011512
Lisboa;20,682727876707517
Madeira;2,4778893626278062
Portalegre;1,0641827279374036
Porto;17,742055896876064
Santarém;4,207069455752444
Setúbal;8,125517357413292
Viana do Castelo;2,345122962177782
Vila Real;1,9430848880711387
Viseu;3,5864529957535876
Évora;1,5311655073935602
